,site,date,time,predict next_15 avg-len,test_label,predict lane,curren_lane
0,1960,2022-12-04,00:30-00:33,0.061,0.0,0.03,0.0
1,1960,2022-12-04,00:33-00:36,0.06,0.0,0.03,0.0
2,1960,2022-12-04,00:36-00:39,0.058,0.0,0.03,0.0
3,1960,2022-12-04,00:39-00:42,0.058,0.0,0.03,0.0
4,1960,2022-12-04,00:42-00:45,0.058,0.0,0.03,0.0
5,1960,2022-12-04,00:45-00:48,0.058,0.0,0.03,0.0
6,1960,2022-12-04,00:48-00:51,0.058,0.0,0.03,0.0
7,1960,2022-12-04,00:51-00:54,0.058,0.0,0.03,0.0
8,1960,2022-12-04,00:54-00:57,0.058,0.0,0.03,0.0
9,1960,2022-12-04,00:57-01:00,0.058,0.0,0.03,0.0
10,1960,2022-12-04,01:00-01:03,0.058,0.0,0.03,0.0
11,1960,2022-12-04,01:03-01:06,0.058,0.0,0.03,0.0
12,1960,2022-12-04,01:06-01:09,0.058,0.0,0.03,0.0
13,1960,2022-12-04,01:09-01:12,0.058,0.082,0.03,0.0
14,1960,2022-12-04,01:12-01:15,0.058,0.118,0.03,0.0
15,1960,2022-12-04,01:15-01:18,0.058,0.118,0.03,0.0
16,1960,2022-12-04,01:18-01:21,0.058,0.118,0.03,0.0
17,1960,2022-12-04,01:21-01:24,0.058,0.118,0.03,0.0
18,1960,2022-12-04,01:24-01:27,0.278,0.036,0.15,1.0
19,1960,2022-12-04,01:27-01:30,0.104,0.0,0.06,0.0
20,1960,2022-12-04,01:30-01:33,0.107,0.0,0.06,0.0
21,1960,2022-12-04,01:33-01:36,0.107,0.0,0.06,0.0
22,1960,2022-12-04,01:36-01:39,0.085,0.0,0.05,0.0
23,1960,2022-12-04,01:39-01:42,0.091,0.0,0.05,0.0
24,1960,2022-12-04,01:42-01:45,0.101,0.0,0.05,0.0
25,1960,2022-12-04,01:45-01:48,0.09,0.0,0.05,0.0
26,1960,2022-12-04,01:48-01:51,0.106,0.0,0.06,0.0
27,1960,2022-12-04,01:51-01:54,0.201,0.0,0.11,0.0
28,1960,2022-12-04,01:54-01:57,0.066,0.0,0.04,0.0
29,1960,2022-12-04,01:57-02:00,0.058,0.0,0.03,0.0
30,1960,2022-12-04,02:00-02:03,0.062,0.0,0.03,0.0
31,1960,2022-12-04,02:03-02:06,0.062,0.0,0.03,0.0
32,1960,2022-12-04,02:06-02:09,0.062,0.0,0.03,0.0
33,1960,2022-12-04,02:09-02:12,0.062,0.022,0.03,0.0
34,1960,2022-12-04,02:12-02:15,0.062,0.022,0.03,0.0
35,1960,2022-12-04,02:15-02:18,0.062,0.022,0.03,0.0
36,1960,2022-12-04,02:18-02:21,0.062,0.022,0.03,0.0
37,1960,2022-12-04,02:21-02:24,0.062,0.022,0.03,0.0
38,1960,2022-12-04,02:24-02:27,0.095,0.034,0.05,0.0
39,1960,2022-12-04,02:27-02:30,0.066,0.1,0.04,0.0
40,1960,2022-12-04,02:30-02:33,0.063,0.11,0.03,0.0
41,1960,2022-12-04,02:33-02:36,0.064,0.12,0.03,0.0
42,1960,2022-12-04,02:36-02:39,0.064,0.12,0.03,0.0
43,1960,2022-12-04,02:39-02:42,0.115,0.086,0.06,0.0
44,1960,2022-12-04,02:42-02:45,0.171,0.02,0.09,0.0
45,1960,2022-12-04,02:45-02:48,0.094,0.01,0.05,0.0
46,1960,2022-12-04,02:48-02:51,0.086,0.0,0.05,0.0
47,1960,2022-12-04,02:51-02:54,0.079,0.0,0.04,0.0
48,1960,2022-12-04,02:54-02:57,0.072,0.0,0.04,0.0
49,1960,2022-12-04,02:57-03:00,0.071,0.0,0.04,0.0
50,1960,2022-12-04,03:00-03:03,0.071,0.0,0.04,0.0
51,1960,2022-12-04,03:03-03:06,0.074,0.0,0.04,0.0
52,1960,2022-12-04,03:06-03:09,0.079,0.0,0.04,0.0
53,1960,2022-12-04,03:09-03:12,0.08,0.0,0.04,0.0
54,1960,2022-12-04,03:12-03:15,0.065,0.0,0.04,0.0
55,1960,2022-12-04,03:15-03:18,0.064,0.0,0.03,0.0
56,1960,2022-12-04,03:18-03:21,0.062,0.0,0.03,0.0
57,1960,2022-12-04,03:21-03:24,0.062,0.0,0.03,0.0
58,1960,2022-12-04,03:24-03:27,0.062,0.0,0.03,0.0
59,1960,2022-12-04,03:27-03:30,0.062,0.0,0.03,0.0
60,1960,2022-12-04,03:30-03:33,0.062,0.0,0.03,0.0
61,1960,2022-12-04,03:33-03:36,0.062,0.0,0.03,0.0
62,1960,2022-12-04,03:36-03:39,0.062,0.0,0.03,0.0
63,1960,2022-12-04,03:39-03:42,0.062,0.0,0.03,0.0
64,1960,2022-12-04,03:42-03:45,0.062,0.0,0.03,0.0
65,1960,2022-12-04,03:45-03:48,0.062,0.0,0.03,0.0
66,1960,2022-12-04,03:48-03:51,0.062,0.0,0.03,0.0
67,1960,2022-12-04,03:51-03:54,0.062,0.0,0.03,0.0
68,1960,2022-12-04,03:54-03:57,0.062,0.0,0.03,0.0
69,1960,2022-12-04,03:57-04:00,0.062,0.0,0.03,0.0
70,1960,2022-12-04,04:00-04:03,0.06,0.0,0.03,0.0
71,1960,2022-12-04,04:03-04:06,0.059,0.0,0.03,0.0
72,1960,2022-12-04,04:06-04:09,0.059,0.0,0.03,0.0
73,1960,2022-12-04,04:09-04:12,0.059,0.0,0.03,0.0
74,1960,2022-12-04,04:12-04:15,0.059,0.0,0.03,0.0
75,1960,2022-12-04,04:15-04:18,0.06,0.0,0.03,0.0
76,1960,2022-12-04,04:18-04:21,0.059,0.0,0.03,0.0
77,1960,2022-12-04,04:21-04:24,0.059,0.0,0.03,0.0
78,1960,2022-12-04,04:24-04:27,0.059,0.0,0.03,0.0
79,1960,2022-12-04,04:27-04:30,0.06,0.03,0.03,0.0
80,1960,2022-12-04,04:30-04:33,0.059,0.03,0.03,0.0
81,1960,2022-12-04,04:33-04:36,0.059,0.03,0.03,0.0
82,1960,2022-12-04,04:36-04:39,0.059,0.03,0.03,0.0
83,1960,2022-12-04,04:39-04:42,0.059,0.03,0.03,0.0
84,1960,2022-12-04,04:42-04:45,0.105,0.0,0.06,0.0
85,1960,2022-12-04,04:45-04:48,0.065,0.0,0.04,0.0
86,1960,2022-12-04,04:48-04:51,0.06,0.014,0.03,0.0
87,1960,2022-12-04,04:51-04:54,0.062,0.032,0.03,0.0
88,1960,2022-12-04,04:54-04:57,0.062,0.076,0.03,0.0
89,1960,2022-12-04,04:57-05:00,0.062,0.104,0.03,0.0
90,1960,2022-12-04,05:00-05:03,0.061,0.148,0.03,0.0
91,1960,2022-12-04,05:03-05:06,0.176,0.134,0.1,1.0
92,1960,2022-12-04,05:06-05:09,0.159,0.116,0.09,1.0
93,1960,2022-12-04,05:09-05:12,0.243,0.072,0.13,1.0
94,1960,2022-12-04,05:12-05:15,0.165,0.044,0.09,0.0
95,1960,2022-12-04,05:15-05:18,0.322,0.0,0.17,1.0
96,1960,2022-12-04,05:18-05:21,0.129,0.068,0.07,0.0
97,1960,2022-12-04,05:21-05:24,0.186,0.122,0.1,0.0
98,1960,2022-12-04,05:24-05:27,0.191,0.122,0.1,0.0
99,1960,2022-12-04,05:27-05:30,0.177,0.122,0.1,0.0
100,1960,2022-12-04,05:30-05:33,0.362,0.122,0.2,1.0
101,1960,2022-12-04,05:33-05:36,0.432,0.062,0.23,1.0
102,1960,2022-12-04,05:36-05:39,0.418,0.016,0.23,1.0
103,1960,2022-12-04,05:39-05:42,0.255,0.016,0.14,1.0
104,1960,2022-12-04,05:42-05:45,0.351,0.016,0.19,1.0
105,1960,2022-12-04,05:45-05:48,0.25,0.024,0.14,1.0
106,1960,2022-12-04,05:48-05:51,0.295,0.024,0.16,1.0
107,1960,2022-12-04,05:51-05:54,0.226,0.09,0.12,0.0
108,1960,2022-12-04,05:54-05:57,0.278,0.09,0.15,0.0
109,1960,2022-12-04,05:57-06:00,0.363,0.09,0.2,0.0
110,1960,2022-12-04,06:00-06:03,0.457,0.082,0.25,0.0
111,1960,2022-12-04,06:03-06:06,0.435,0.074,0.23,0.0
112,1960,2022-12-04,06:06-06:09,0.592,0.0,0.32,1.0
113,1960,2022-12-04,06:09-06:12,0.334,0.068,0.18,0.0
114,1960,2022-12-04,06:12-06:15,0.372,0.174,0.2,0.0
115,1960,2022-12-04,06:15-06:18,0.347,0.174,0.19,0.0
116,1960,2022-12-04,06:18-06:21,0.205,0.286,0.11,0.0
117,1960,2022-12-04,06:21-06:24,0.21,0.52,0.11,0.0
118,1960,2022-12-04,06:24-06:27,0.414,0.46,0.22,1.0
119,1960,2022-12-04,06:27-06:30,0.445,0.354,0.24,1.0
120,1960,2022-12-04,06:30-06:33,0.251,0.544,0.14,0.0
121,1960,2022-12-04,06:33-06:36,0.575,0.562,0.31,0.0
122,1960,2022-12-04,06:36-06:39,0.73,0.328,0.39,1.0
123,1960,2022-12-04,06:39-06:42,0.261,0.32,0.14,0.0
124,1960,2022-12-04,06:42-06:45,0.301,0.32,0.16,0.0
125,1960,2022-12-04,06:45-06:48,0.705,0.13,0.38,1.0
126,1960,2022-12-04,06:48-06:51,0.59,0.014,0.32,1.0
127,1960,2022-12-04,06:51-06:54,0.435,0.014,0.24,0.0
128,1960,2022-12-04,06:54-06:57,0.477,0.022,0.26,0.0
129,1960,2022-12-04,06:57-07:00,0.317,0.022,0.17,0.0
130,1960,2022-12-04,07:00-07:03,0.327,0.022,0.18,0.0
131,1960,2022-12-04,07:03-07:06,0.454,0.008,0.25,0.0
132,1960,2022-12-04,07:06-07:09,0.266,0.008,0.14,0.0
133,1960,2022-12-04,07:09-07:12,0.278,0.0,0.15,0.0
134,1960,2022-12-04,07:12-07:15,0.393,0.0,0.21,0.0
135,1960,2022-12-04,07:15-07:18,0.33,0.076,0.18,0.0
136,1960,2022-12-04,07:18-07:21,0.183,0.204,0.1,0.0
137,1960,2022-12-04,07:21-07:24,0.182,0.354,0.1,0.0
138,1960,2022-12-04,07:24-07:27,0.183,0.678,0.1,0.0
